,W,T
0,организовывать планировать анализировать работу специалист назначение использование техническое  обслуживание уход оборудованием безопасность применения; основы информатики вычислительной техники; методы поиска получения соответствующей информации специального общего характера технических условий инструкций; внутренние организационно-распорядительные документы экономического субъекта регламентирующие способы защиты персональных данных; специалист подготавливать поддерживать рабочее  безопасном аккуратном эффективном состоянии; пользоваться программным обеспечением оформления заказа покупателю; подготавливать отчётность согласно выполняемому типу работ; принимать решения стандартных нестандартных ситуациях нести ответственность; осуществлять поиск использовать информацию необходимой эффективного выполнения профессиональных задач организовывать сбыт продукции специалист основные торговые марки производителей медицинской оптики; направления развития рынка медицинской оптики мода технологии; номенклатурное обозначение каждой единицы оптических средств коррекции зрения аксессуаров ним; принципы мерчандайзинга; правила хранения сопровождающих документов оптические средства коррекции зрения; устанавливать межличностную коммуникацию специалист основы психологии общения; типы характер личности; причины возникновения конфликтной ситуации; основные причины неудовлетворенности покупателя очками специалист устанавливать конструктивные отношения покупателем; выявлять создавать потребности клиента; разрешать конфликтные ситуации; разъяснять покупателю положения правил продажи отдельных видов товара проводить продажу продавать специалист проводить измерения контроль параметров специалист классификацию линз; классификацию оправ; маркировку оправ; принципы работы оптических приборов инструментов диоптриметр оптическая линейка тестовые приборы; виды средств коррекции зрения; свойства характеристики материалов; методы контроля соответствия диаметра линз подобранной оправе; способы проверки линз оптических приборах; специалист пользоваться основными оптическими приборами диоптриметр линейка оптическая; определять оптимальный линз данным рецепта; измерять антропологические параметры лица покупателя пантоскопический угол вертексное расстояние высота переносицы ширина переносицы; размечать оправы различные виды линз; рассчитывать технологическую возможность специалист способы проверки линз оптических приборах; устройство правила особенности работы оборудовании обработки очковых линз; технологию изготовления очков; оснащение производственной мастерской; действующие отраслевые стандарты; виды прописей рецептов специалист оборудовании обработки очковых линз; изготавливать средства коррекции зрения; производить выправку оправы корригирующих очков принимать применять решения ремонту замене дизайну специалист технологии методы ремонта оправ корригирующих очков; устройства приспособления инструменты расходные материалы ремонта оправ очков; виды работ выполняемых ремонте оправ очков; используемые современные конструкции детали оправ очков; технологии методы декора; инструмент материал приспособления выполнения декора средств коррекции зрения; специалист выполнять ремонт оправ очков; применять соответствующие инструмент приспособления расходные материалы ремонте оправ очков; производить замену отдельных деталей оправ очков; производить замену очковых линз оправах ,Медицинская оптика
1,обработка результатов измерения специалист законодательство российской федерации регламентирующее вопросы единства измерений метрологического обеспечения нормативные методические документы регламентирующие вопросы выбора методов средств измерений нормативные методические документы регламентирующие работы метрологическому обеспечению организации специалист выполнять обработку результатов измерений выполнять расчет определение допускаемой погрешности неопределенности измерений получать интерпретировать анализировать результаты измерений оформление ведение производственно-технической документации специалист законодательство российской федерации регламентирующее работы метрологическому обеспечению организации ,Метрология
2,специалист  подготавливать поддерживать безопасную аккуратную эффективную зону проведения работ;  подготавливать поставленным задачам уделяя должное внимание технике безопасности нормам охраны труда;  планировать работу максимизации эффективности минимизации срывов графика;  учитывать правила нормативные положения действующие техников инженеров области робототехники;  выбирать безопасно использовать оборудование материалы соответствии инструкциями изготовителя;  соблюдать превышать стандарты техники безопасности охраны труда применяемые отношении окружающей среды оборудования материалов;  восстанавливать зону проведения работ соответствующего состояния;  содействовать работе команды широком смысле конкретных случаях;  осуществлять получать обратную связь оказывать получать поддержку компетенции общения межличностных отношений проектирование специалист  принципы способы применения проектной разработки;  характер формат технических условий проекта; специалист  основные принципы механического электрического электронного технического проектирования;  принципы изготовления сборки;  принципы практику безопасного изготовления функционирования специалист  изготавливать детали корпуса мобильного робота;  интегрировать структурные механические части мобильного робота;  интегрировать электронные схемы управления;  устанавливать настраивать производить необходимые физические программные регулировки требуемые эффективного использования;  устанавливать настраивать производить необходимые регулировки механических электрических сенсорных системах;  устанавливать настраивать производить регулировки требуемые эффективной работы мобильного робота режиме супервизорного управления;  интегрировать датчики осуществления контроля требуемыми задачами программирование тестирование регулировка специалист специалист  критерии методы тестирования оборудования систем;  критерии методы эксплуатационных тестовых прогонов;  область действия пределы используемых технологий методов;  стратегия творческого мышления создание инноваций;  возможности варианты осуществления поэтапных радикальных изменений специалист  тестировать каждую мобильного робота каждому согласованному критерию надежной работы;  тестировать общие эксплуатационные характеристики мобильного робота каждому согласованному критерию надежной работы;  оптимизировать функционирование каждой части системы системы целом путем анализа решения проблем усовершенствования;  проводить окончательный тестовый прогон вводом системы эксплуатацию;  анализировать каждую процесса проектирования изготовления сборки эксплуатации установленным критериям включая точность стабильность временную экономическую эффективность;  убеждаться аспекты стадии проектирования удовлетворяют требуемым отраслевым стандартам;  оформлять представлять портфель клиенту; портфель включать значимую документацию требуемую конкретной бизнес-транзакции;  проводить презентацию мобильного робота портфеля клиенту отвечать вопросы клиента ,Мобильная робототехника
3,менеджмент организация работы специалист действующие правила технике безопасности рекомендации охране труда используемые современных промышленных отраслях - организовывать обустраивать рабочее - правильно производить утилизации отрезков стружки использованных чистящих средств чистящих материалов; - преобразование общих стандартных метрических измерений элементами / частями - использовать простые математические формулы вычисления дополнительных измерений проводить проверку точности оценки количества изделий материалла - значимость актуальность проверочных измерений - подходящие способы организации работы создании образцов фигур/моделей максимально грамотно потерь использовать материалы общие характеристики ковкость пластичность стойкость включают - низкоуглеродистые стали - алюминий алюминиевые сплавы - олово / латунь / медь - оцинкованный анодированный лист - нержавеющая сталь - точно переносить измерения контуры листовой металл соответствующие разделы - аккуратно использовать ручное цифровое измерительное оборудование - эффективно использовать материал уменьшить количество лома/отходов - вырезать формовать использовать материал листового металла дальнейшего использования таких свойств эластичность ковкость вязкость - использовать математические формулы расчета допусков количества расходуемого материала завершения размеров - заданных временных промежутках разработка шаблонов специалист - интерпретировать чертежи европейском способе проецирования американском способе проецирования горизонтальная проекция выше фронтальной ортогональной проекции ортографической - методы принципы разработки моделей/шаблонов параллельных линий радиальных линий - принципы методы разработки шаблонов использованием acad параллельных линии радиальных линии триангуляции - проверить шаблоны методы переноса листовой металл специалист - точно передавать информацию размеры чертежа переносить листовой металл специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки формовки - эксплуатация настройка станков механического пиления - выбор уход обслуживание используемых режущих инструментов вырезания узоров/шаблонов - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла - регулировка эксплуатация оборудования механического пиления специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания формовки - эксплуатация настройка станков механического пиления - выбор уход обслуживание используемых режущих инструментов вырезания узоров/шаблонов - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла специалист - расчеты припуска изгиб допуски отступ - выбор уход обслуживание ручных инструментов используемых резки формовки материалов - выбор уход настройка машин ручного управления служащих формовки - принципы выбора программирования использовании станков чпу обработки листового материала - первичные операции сгибания фальцовки прокатки фланцевания фландировки формовки - эксплуатация настройка станков механического пиления - выбор методов ручной резки доступных резки шаблона - настройка машин используемых резки формовки листового металла - регулировка эксплуатация оборудования механического пиления специалист - использовать чертежи расчеты припусков изгиб / допусков отступ производить точные перегибы / сгибы включая использование шаблонов - используйте виды ручных инструментов резки формовки листового металла - настраивать использовать оборудование ручной формовки/отливки - программировать оборудование чпу выполнения операций формовке/отливке - выполнять операции первичной отливки/ формовки - настраивать использовать электроинструменты - настроить использовать оборудование механического пиления - использовать ручные режущие инструменты получения точных рисунков/шаблонов сюда входят - специальные ножницыдля работы металлом - режущая - вырубные ножницы - инструменты удаления заусенцев сверла использовать электроинструмент/механизированный инструмент необходимые инструменты специалист международные стандарты сварки - завершающие процессы работе - характеристики каждого типа финишнего процесса - набор инструментов оборудования необходимых завершения работы - подготовить необходимый инструмент/материал завершения работы сюда входят - различные порошки - анодирование подвергать поверхность анодной обработке - покраска - полировка - листовая обшивка - оцинковка специалист - выполнять различные виды сварочных работ - использовать ручные инструменты планирования отделки изделий листового металла - использовать электроинструменты оборудование отделки изделий листового металла включая текстурирующее оборудование ,Обработка листового металла
4,безопасность специалист меры необходимые сохранения  здоровья рабочего пространства безопасности назначение средств индивидуальной защиты  используемых техническим специалистом ассортимент назначение веществ материалов  оборудования используемых производстве безопасное рациональное использование хранение  веществ материалов причины предотвращение любых рисков связанных  поставленными задачами важность содержания рабочего места чистоте  порядке здоровья безопасности важность подготовки рабочего пространства использования следующим специалистом специалист последовательно добросовестно выполнять  нужные процедуры защиты здоровья обеспечения безопасности рабочем месте используйте подходящие средства индивидуальной  защиты участники постоянно должны носить защитную обувь защиту боковыми щитками защиту ушей средства защиты органов дыхания либо защитные перчатки либо перчатки механиков мере необходимости выбирать использовать оборудование  материалы безопасно соответствии инструкцией производителей утилизировать вещества материалы риска  окружающей среды предвидеть предотвращать любые риски  связанные заданиями подготовить поддерживать рабочее  учетом мер безопасности подготовить рабочее пространство следующего специалиста специалист организовать процесс применить  соответствующие решения относительно технического обслуживания ремонта использовать подходящие методы  выполнения каждого задания применение интерпретация технической информации специалист использование применение ряда технической  информации бумаге электронном виде прочесть интерпретировать извлечь  информацию любого формата применить техническую информацию  конкретному заданию корректно использовать технический язык  относящийся заданию специалист выбрать подходящие источники технической  информации применимые заданию прочесть интерпретировать извлечь информацию  необходимого источника применить техническую информацию заданию  корректно использовать технический  язык относящийся заданию точное измерение специалист типы диагностических измерительных приборов  обеих метрических системах назначение надлежащее использование  диагностических измерительных приборов выбирать использовать интерпретировать  результаты диагностических измерительных приборов осуществления точных измерений определить неисправности системе специалист специалист перечень неисправностей признаков системах  частях грузовых автомобилей перечень применение методов диагностики  соответствующего оборудования применить результаты диагностики  вычислений распознавания неисправностей важность регулярного технического обслуживания  минимизации неисправностей системе частях специалист обнаружить продиагностировать неисправность  системах частях грузовых автомобилей использовать применять результаты надлежащих  методов диагностики диагностического оборудования применить результаты диагностического  тестирования любые соответствующие расчеты правильно идентифицировать устранить неисправности связанные заданием надлежащее использование приборов специалист назначение надлежащее хранение перечня  приборов технического обслуживания ремонта любых частей систем связанных грузовыми автомобилями специалист выбирать грамотно использовать хранить  приборы конкретного задания техническое обслуживание ремонт компонентов систем коммуникация техническом обслуживании ремонте специалист четко верно записать техническую  информацию письменный отчет каждому заданию специалист четко верно записать техническую информацию  письменный отчет каждому заданию ,Обслуживание грузовой техники
5,организация работы специалист принципы способы безопасного выполнения работ общем применении огранке ювелирных вставок; назначение использование уход техническое обслуживание оборудования материалов влияние безопасность; принципы безопасности защиты окружающей среды применение отношении содержания рабочей зоны хорошем состоянии; принципы методы организации работы контроля управления; принципы коммуникации сотрудничества; объем ограничения собственной роли ролей людей индивидуальные коллективные обязанности ответственность; параметры рамках планируется деятельность; принципы методы управления временем специалист подготавливать поддерживать рабочее пространство безопасном аккуратном продуктивном состоянии; подготавливать поставленным задачам уделяя должное внимание технике безопасности нормам охраны труда; планировать работу максимизации продуктивности минимизации нарушений графика; выбирать безопасно использовать оборудование материалы соответствии инструкциями изготовителя; применять требования либо превышать стандартов техники безопасности норм охраны здоровья отношении окружающей среды оборудования материалов; восстанавливать зону проведения работ надлежащего состояния; вносить вклад работу команды организации целом общем конкретных случаях; предоставлять принимать комментарии поддержку огранка ювелирных вставок ,Огранка ювелирных вставок
6,организация деятельности безопасность специалист принципы организации комплексных специализированных производственных звеньев бригад технологии производства строительных работ виды технические характеристики технологической оснастки лесов подмостей защитных приспособлений креплений стенок котлованов траншей требования нормативных документов области охраны труда пожарной безопасности охраны окружающей среды виды негативного воздействия окружающую среду производстве различных видов строительных работ методы минимизации предотвращения основные вредные опасные производственные факторы требования охраны труда пожарной безопасности производстве строительных работ требования рабочим местам порядок организации проведения специальной оценки условий труда правила ведения документации контролю исполнения требований охраны труда пожарной безопасности охраны окружающей среды меры административной уголовной ответственности применяемые нарушении требований охраны коммуникая людьми специалист принципы построения эффективной коммуникации методы убеждения собеседника методы выявления потребностей методы решения конфликтных ситуаций особенности общения телефону особенности личного общения особенности общения переписке специалист излагать информацию грамотно трактуемо помощи любой коммуникации выстраивать эффективное общение телефону ,Организация строительного производства
7, производственную организационную структуру предприятия перспективы развития специалист  свободно разбираться экологическом законодательстве требованиях нормативах  программах позволяющих моделировать воздействие предприятия окружающую среду включая графические редакторы  разбираться зарубежном отечественном опыте сфере охраны окружающей среды  составлять необходимую отчетность документацию охране окружающей среды обеспечение предприятия разрешительными документами области охраны окружающей среды специалист порядок разработки согласования утверждения хранения локальной документации предприятия систему государственного надзора контроля соблюдением требований охраны окружающей среды права обязанности представителей государственного надзора контроля соблюдением требований оос обязанности предприятий проведении государственного надзора контроля соблюдением требований оос ответственность нарушение требований охраны окружающей среды дисциплинарная административная гражданско-правовая уголовная порядок привлечения ответственности специалист определить перечень необходимой разрешительной документации предприятия соответствии категорией предприятия применять государственные нормативные требования оос разработке локальных нормативных актов; провести оценку воздействия предприятия окружающую среду проектировании функционировании предприятия установить нормативы воздействия окружающую среду включая инвентаризацию источников выбросов отходов сбросов нормативы пдв ноолр ндс определить санитарно-защитную зону предприятия разрабатывать регулярную отчетность области оос анализировать изменения законодательства сфере оос применять методы проверки аудита функционирования системы управления оос выявлять анализировать недостатки взаимодействовать гос органами оос анализировать причины несоблюдения требований оос оценивать избирать адекватные меры устранению выявленных нарушений обучать сотрудников компании области экологии доносить информацию охране окружающей среды обеспечение снижения уровней негативного воздействия предприятия окружающую среду специалист  современные природосберегающие технологии основные принципы организации создания безотходных малоотходных экологически чистых производств;  принципы работы достоинства недостатки современных приборов аппаратов очистки;  инженерные методы обеспечения экологической безопасности технические мероприятия снижению загрязнения природной среды промышленными выбросами специалист применять методы идентификации опасностей оценки рисков негативного воздействия окружающую среду рисков превышения нормативных уровней негативного воздействия; оценивать приоритетность реализации мероприятий минимизации негативного воздействия точки зрения эффективности; формировать требования оборудования технологиям приборов аппаратов очистки составлять анализировать принципиальные схемы очистки выбросов сбросов производственный экологический контроль специалист  основы эксплуатации очистных установок очистных сооружений полигонов;  действующие территории рф методики средства измерения уровней воздействия окружающую среду разным аспектам  современные методы средства измерения уровней воздействия окружающую среду разным аспектам методы очистке реабилитации загрязненных территорий специалист  разрабатывать программу производственного экологического контроля  провести замеры загрязняющим веществам атмосферном воздухе уровней шума  вести учет показателей характеризующих состояние окружающей среды данных экологического контроля  доносить необходимую информацию руководству уровнях загрязнения принятия управленческих решений  контролировать обеспечивать эффективность использования безотходных малоотходных технологий; разработка программирование системы мониторинга показателей объектов окружающей среды специалист  основные законы электротехники составления подключения простейших электрических схем;  основные принципы программирования средств автоматизации специалист  использовать информационные технологий решения профессиональных задач; разрабатывать программы проведения мониторинга окружающей природной среды обеспечение расследования учета аварийных случаев специалист виды возможных аварийных случаев производстве последствия специалист применять методы сбора информации обстоятельствах несчастных случаев производстве анализировать информацию заключения выводы основе оценки обстоятельств аварийных случаев производстве выявлять анализировать причины аварийных случаев производстве обосновывать необходимые мероприятия меры предотвращению аналогичных происшествий ,Охрана окружающей среды
8,организацияработы специалист  законодательство области охраны труда техники безопасности обязанности правила документацию;  ситуации необходимо использовать индивидуальные средства защиты;  необходимость соблюдения правил техники безопасности использовании хранении оборудования рабочих инструментов;  необходимость соблюдения правил техники безопасности использовании хранении рабочего материала;  значимость содержания рабочего места чистоте;  экологически безопасные методы материалы используемые строительных работ;  значимость планирования аккуратности внимательности деталям работы специалист  соблюдать правила гигиены труда техники безопасности;  обеспечить безопасность труда рабочем месте;  правильно определить использовать соответствующие индивидуальные средства защиты спецобувь защитные наушники защитные очки пылезащитную маску;  выбирать использовать чистить хранить ручные механические инструменты следовать инструкциям производителей используемого оборудования;  безопасно использовать хранить рабочие материалы;  планировать рабочее максимизации эффективности труда развития дисциплины поддержания чистоты;  измерять аккуратно стараться минимизировать расход материалов специалист невербальную коммуникацию помощи чертежей спецификаций; роль требования архитекторов представителей профессий работающих данной сфере эффективные способы коммуникации специалист определять необходимые параметры количества материала; положительно реагировать комментарии замечания коллег руководителей заказчиков действовать соответствующим образом умение преодолевать трудности креативность специалист общие типы проблем возникнуть процессе работы например дефекты древесины; методы позволяющие определить тип проблемы; тенденции новые разработки данной отрасли например эффективность энергоиспользования специалист регулярно проверять работу соответствие стандартам аккуратность исполнения; оперативно определить проблемы разработать процесс решения; проверять недостоверную информацию предотвращения проблем; следить изменениями нововведениями отрасли чтение интерпретация чертежей инструкций специалист взаимосвязь составляющими проекта; трактовать изображения проекции; геометрию тригонометрию триангуляцию; математические модели процесс решения задач; пределы допустимых отклонений процессе работы проектами выполнения заданий специалист точно интерпретировать изображения проекции ортогональные вспомогательные перспективные проекции d изображения детальные чертежи; определить чертежам каким образом элементы соединены другом; специалист необходимость продумать детали проекта приступить работе; возможные последствия бизнеса/предприятия случае ошибок измерениях; расчеты необходимые осуществления измерений проверки работы; различные виды соединений соединение прямой сквозной шип несквозное шиповое соединение ласточкин хвост шпунтовое соединениесоединение внакладку вертикальный рез горизонтальный рез др специалист представлять продумывать работу заранее определять предотвращать потенциальные трудности; расчеты измерения точно аккуратно; заранее определить какие параметры необходимо измерить какие углы соединения детали необходимы; использовать геометрический подход определения сложных углов соединений пересечений; выполнять стандартные виды соединений соединение прямой сквозной шип несквозное шиповое соединение ласточкин хвост шпунтовое соединение соединение внакладку вертикальный рез горизонтальный рез др; отметить детали узлы; аккуратно перенести маркировку замеры углы рабочий материал древесину; замеры непосредственно древесине возможно; установить соединения используя вспомогательные измерительные приборы; определить молдинги бордюры др; четко обозначить отходы выполнение соединений подготовка деталей сборки специалист тип материала дерево метал пластик; свойства древесины материалов изготовленных основе дерева; сборка крепеж элементов структуры установка специалист эффективно использовать отверстия крепежа специалист аккуратно установить соединения помощи гвоздей шурупов; использовать виды крепежа болты диски скобы шарниры шпонки финишная обработка специалист значимость выполнения финишной обработки согласно спецификации специалист устанавливать соединения зазоров; устанавливать изделия аккуратно; аккуратно обработать торцевую сторону деталей отсутствие выступов зазубрин; аккуратно установить крепеж; демонстрировать работу минимальным количеством карандашной разметки пятен прочих недоделок; организовать безопасную утилизацию переработку отходных материалов ,Плотницкое дело(юниоры)
