,Слова,Важность,Компетенция,Чистые слова
0,организовывать планировать и анализировать работу,7,Медицинская оптика,организовывать планировать анализировать работу
1,специалист должен знать и понимать назначение использование техническое  обслуживание и уход за  оборудованием а также безопасность его применения;   основы информатики и вычислительной техники;   методы поиска для получения соответствующей информации специального и общего характера технических условий и инструкций;   внутренние организационно-распорядительные документы экономического субъекта регламентирующие способы защиты персональных данных; ,7,Медицинская оптика,специалист назначение использование техническое  обслуживание уход оборудованием безопасность применения; основы информатики вычислительной техники; методы поиска получения соответствующей информации специального общего характера технических условий инструкций; внутренние организационно-распорядительные документы экономического субъекта регламентирующие способы защиты персональных данных;
2,специалист должен уметь подготавливать и поддерживать рабочее место в  безопасном аккуратном и эффективном состоянии;   пользоваться программным обеспечением для оформления заказа покупателю;    подготавливать отчётность согласно выполняемому типу работ;   принимать решения в стандартных и нестандартных ситуациях и нести за них ответственность;   осуществлять поиск и использовать информацию необходимой для эффективного выполнения профессиональных задач,7,Медицинская оптика,специалист подготавливать поддерживать рабочее  безопасном аккуратном эффективном состоянии; пользоваться программным обеспечением оформления заказа покупателю; подготавливать отчётность согласно выполняемому типу работ; принимать решения стандартных нестандартных ситуациях нести ответственность; осуществлять поиск использовать информацию необходимой эффективного выполнения профессиональных задач
3,организовывать сбыт продукции,6,Медицинская оптика,организовывать сбыт продукции
4,специалист должен знать и понимать   основные торговые марки производителей медицинской оптики;   направления развития рынка медицинской оптики мода технологии;   номенклатурное обозначение каждой единицы оптических средств коррекции зрения и аксессуаров к ним;    принципы мерчандайзинга;   правила хранения  сопровождающих документов на оптические средства коррекции зрения;,6,Медицинская оптика,специалист основные торговые марки производителей медицинской оптики; направления развития рынка медицинской оптики мода технологии; номенклатурное обозначение каждой единицы оптических средств коррекции зрения аксессуаров ним; принципы мерчандайзинга; правила хранения сопровождающих документов оптические средства коррекции зрения;
5,устанавливать межличностную коммуникацию,12,Медицинская оптика,устанавливать межличностную коммуникацию
6,специалист должен знать и понимать   основы психологии общения;   типы характер личности;   причины возникновения конфликтной ситуации;   основные причины неудовлетворенности покупателя очками,12,Медицинская оптика,специалист основы психологии общения; типы характер личности; причины возникновения конфликтной ситуации; основные причины неудовлетворенности покупателя очками
7,специалист должен уметь   устанавливать конструктивные отношения с покупателем;    выявлять или создавать потребности клиента;   разрешать конфликтные ситуации;   разъяснять покупателю положения правил продажи отдельных видов товара,12,Медицинская оптика,специалист устанавливать конструктивные отношения покупателем; выявлять создавать потребности клиента; разрешать конфликтные ситуации; разъяснять покупателю положения правил продажи отдельных видов товара
8,проводить продажу или продавать ,6,Медицинская оптика,проводить продажу продавать
9,специалист должен знать и понимать,6,Медицинская оптика,специалист
10,проводить измерения и контроль параметров,47.5,Медицинская оптика,проводить измерения контроль параметров
11,специалист должен знать и понимать   классификацию линз;   классификацию оправ;   маркировку оправ;   принципы работы оптических приборов и инструментов диоптриметр оптическая линейка тестовые приборы;   виды средств коррекции зрения;   свойства и характеристики материалов;   методы контроля соответствия диаметра линз подобранной оправе;   способы проверки линз на оптических приборах;,47.5,Медицинская оптика,специалист классификацию линз; классификацию оправ; маркировку оправ; принципы работы оптических приборов инструментов диоптриметр оптическая линейка тестовые приборы; виды средств коррекции зрения; свойства характеристики материалов; методы контроля соответствия диаметра линз подобранной оправе; способы проверки линз оптических приборах;
12,специалист должен уметь   пользоваться основными оптическими приборами диоптриметр линейка оптическая;    определять оптимальный вид линз по данным рецепта;    измерять антропологические параметры лица покупателя пантоскопический угол вертексное расстояние высота переносицы ширина переносицы;    размечать оправы под различные виды линз;    рассчитывать технологическую возможность,47.5,Медицинская оптика,специалист пользоваться основными оптическими приборами диоптриметр линейка оптическая; определять оптимальный линз данным рецепта; измерять антропологические параметры лица покупателя пантоскопический угол вертексное расстояние высота переносицы ширина переносицы; размечать оправы различные виды линз; рассчитывать технологическую возможность
13,специалист должен знать и понимать   способы проверки линз на оптических приборах;   устройство правила и особенности работы на оборудовании для обработки очковых линз;    технологию  изготовления очков;   оснащение производственной мастерской;   действующие отраслевые стандарты;   виды прописей рецептов,47.5,Медицинская оптика,специалист способы проверки линз оптических приборах; устройство правила особенности работы оборудовании обработки очковых линз; технологию изготовления очков; оснащение производственной мастерской; действующие отраслевые стандарты; виды прописей рецептов
14,специалист должен уметь   работать на оборудовании для обработки очковых линз;   изготавливать средства коррекции зрения;   производить выправку оправы корригирующих очков,47.5,Медицинская оптика,специалист оборудовании обработки очковых линз; изготавливать средства коррекции зрения; производить выправку оправы корригирующих очков
15,принимать и применять решения по ремонту замене и,47.5,Медицинская оптика,принимать применять решения ремонту замене
16,дизайну,47.5,Медицинская оптика,дизайну
17,специалист должен знать и понимать   технологии и методы ремонта оправ корригирующих очков;    устройства приспособления инструменты и расходные материалы для ремонта оправ и очков;   виды работ выполняемых при ремонте оправ и очков;   используемые современные конструкции и детали оправ и очков;   технологии и методы декора;   инструмент материал и приспособления для выполнения декора средств коррекции зрения;,47.5,Медицинская оптика,специалист технологии методы ремонта оправ корригирующих очков; устройства приспособления инструменты расходные материалы ремонта оправ очков; виды работ выполняемых ремонте оправ очков; используемые современные конструкции детали оправ очков; технологии методы декора; инструмент материал приспособления выполнения декора средств коррекции зрения;
