,CIS,Тип,Название компетенции,Name of competence,Статус компетенции,Блок компетенций
1,E57,WSE,Администрирование отеля,Hotel receptioning,1) Основная,Сфера услуг
3,8,WSI,Архитектурная обработка камня,Architectural Stonemasonry,1) Основная,технологии
6,17,WSI,Веб-дизайн и разработка,Web Technologies,1) Основная,технологии
7,R56,RU,Ветеринария,Veterinary,1) Основная,Сфера услуг
8,R1,RU,Видеопроизводство,Video Production,1) Основная,Творчество и дизайн
9,44,WSI,Визуальный мерчендайзинг,Visual Merchandising,1) Основная,Творчество и дизайн
10,R14,RU,Выпечка осетинских пирогов,Ossetian Pies Baking,1) Основная,Сфера услуг
12,R60,RU,Геодезия,Surveying,1) Основная,технологии
13,40,WSI,Графический дизайн,Graphic Design Technology,1) Основная,Творчество и дизайн
14,57,RU,Дизайн интерьера,Interior Design,1) Основная,Творчество и дизайн
15,R4,RU,Дошкольное воспитание,Preschool Education,1) Основная,Образование
16,R26,RU,Звукорежиссура,Sound Engineering,1) Основная,Творчество и дизайн
18,43,WSI,материалов,Plastic Die Engineering,1) Основная,технологии
20,45,WSI,Изготовление прототипов,Prototype Modelling,1) Основная,технологии
22,R54,RU,Инженерия космических систем,Space Systems,1) Основная,технологии
24,5,WSI,Инженерный дизайн CAD,Mechanical Engineering CAD,1) Основная,технологии
0,20,WSI,Кирпичная кладка,Bricklaying,1) Основная,"Строительство и строительныетехнологии"
1,3,WSI,Командная работа на производстве,Manufacturing Team Challenge,1) Основная,"Производство и инженерныетехнологии"
2,32,WSI,Кондитерское дело,Patisserie and Confectionery,1) Основная,Сфера услуг
4,E49,WSE,Кровельные работы по металлу,Metal Roofing,1) Основная,"Строительство и строительныетехнологии"
5,13,WSI,Кузовной ремонт,Autobody Repair,1) Основная,Транспорт и логистика
6,R2,RU,Лабораторный медицинский анализ,Medical Analysis Services,1) Основная,Сфера услуг
7,R6,WSI,Лабораторный химический анализ,Chemical Analysis Service,1) Основная,"Производство и инженерныетехнологии"
8,R47,RU,Лазерные технологии,Laser Technology,1) Основная,"Производство и инженерныетехнологии"
9,37,WSI,Ландшафтный дизайн,Landscape Gardening,1) Основная,"Строительство и строительныетехнологии"
10,R81,RU,"Магистральные линии связи.Строительство и эксплуатация ВОЛП.","Trunk Communication Lines. FOCLConstruction and Operation",1) Основная,"Информационные икоммуникационныетехнологии"
11,22,WSI,Малярные и декоративные работы,Painting and Decorating,1) Основная,"Строительство и строительныетехнологии"
12,R3,RU,Медицинская оптика,Optical Eyecare,1) Основная,Сфера услуг
13,41,WSI,Медицинский и социальный уход,Health and Social Care,1) Основная,Сфера услуг
14,4,WSI,Мехатроника,Mechatronics,1) Основная,"Производство и инженерныетехнологии"
15,23,WSI,Мобильная робототехника,Mobile Robotics,1) Основная,"Производство и инженерныетехнологии"
16,12,WSI,Облицовка плиткой,Wall and Floor Tiling,1) Основная,"Строительство и строительныетехнологии"
0,54,WSE,Обслуживание грузовой техники,Heavy Truck Maintenance,1) Основная,Транспорт и логистика
1,R48,RU,"Обслуживание и ремонт оборудованиярелейной защиты и автоматики","Relay Protection and AutomationDevices Maintenance",1) Основная,"Производство и инженерныетехнологии"
2,49,WSI,Обслуживание тяжелой техники,Heavy Vehicle Maintenance,1) Основная,Транспорт и логистика
3,R27,RU,Огранка ювелирных вставок,Gem Cutting,1) Основная,Творчество и дизайн
4,36,WSI,Окраска автомобиля,Car Painting,1) Основная,Транспорт и логистика
5,R58,RU,Организация экскурсионных услуг,Excursion and Sightseeing Services,1) Основная,Сфера услуг
6,T8,RU,Охрана труда,Occupational Health and Safety,1) Основная,Сфера услуг
7,29,WSI,Парикмахерское искусство,Hairdressing,1) Основная,Сфера услуг
8,26,WSI,Плотницкое дело,Carpentry,1) Основная,"Строительство и строительныетехнологии"
9,34,WSI,Поварское дело,Cooking,1) Основная,Сфера услуг
10,11,WSI,Полиграфические технологии,Print Media Technology,1) Основная,"Информационные икоммуникационныетехнологии"
11,1,WSI,Полимеханика и автоматизация,Polymechanics and Automation,1) Основная,"Производство и инженерныетехнологии"
12,R11,WSI,Предпринимательство,Entrepreneurship,1) Основная,Сфера услуг
13,R21,RU,Преподавание в младших классах,Primary School Teaching,1) Основная,Образование
14,R57,RU,Преподавание музыки в школе,Music Teaching,1) Основная,Образование
15,9,WSI,Программные решения для бизнеса,IT Software Solutions for Business,1) Основная,"Информационные икоммуникационныетехнологии"
16,R49,RU,"Производственная сборка изделийавиационной техники",Aircraft Assembly,1) Основная,"Производство и инженерныетехнологии"
17,24,WSI,Производство мебели,Cabinetmaking,1) Основная,"Строительство и строительныетехнологии"
18,19,WSI,Промышленная автоматика,Industrial Control,1) Основная,"Производство и инженерныетехнологии"
19,R46,RU,Промышленная робототехника,Industrial robotics,1) Основная,"Производство и инженерныетехнологии"
20,R42,RU,Промышленный дизайн,Industrial Design Technology,1) Основная,Творчество и дизайн
0,F6,RU,Разработка мобильных приложений,Mobile application development,1) Основная,"Информационные икоммуникационныетехнологии"
1,R22,RU,Реверсивный инжиниринг,Reverse Engineering,1) Основная,"Производство и инженерныетехнологии"
2,33,WSI,"Ремонт и обслуживание легковыхавтомобилей",Automobile Technology,1) Основная,Транспорт и логистика
3,35,WSI,Ресторанный сервис,Restaurant Service,1) Основная,Сфера услуг
4,15,WSI,Сантехника и отопление,Plumbing and Heating,1) Основная,"Строительство и строительныетехнологии"
5,10,WSI,Сварочные технологии,Welding,1) Основная,"Производство и инженерныетехнологии"
6,R16,RU,Сервис на воздушном транспорте,Service in Air Transport,1) Основная,Транспорт и логистика
7,39,WSI,"Сетевое и системноеадминистрирование",IT Network Systems Administration,1) Основная,"Информационные икоммуникационныетехнологии"
8,R10,RU,Спасательные работы,Rescue Service,1) Основная,Сфера услуг
9,25,WSI,Столярное дело,Joinery,1) Основная,"Строительство и строительныетехнологии"
10,21,WSI,"Сухое строительство и штукатурныеработы",Plastering and Drywall Systems,1) Основная,"Строительство и строительныетехнологии"
11,R68,RU,Технологии композитов,Composite Technology,1) Основная,"Производство и инженерныетехнологии"
12,31,WSI,Технологии моды,Fashion Technology,1) Основная,Творчество и дизайн
13,6,WSI,Токарные работы на станках с ЧПУ,CNC Turning,1) Основная,"Производство и инженерныетехнологии"
14,R9,RU,Туризм,Tourism,1) Основная,Сфера услуг
15,R50,RU,"Управление жизненнымциклом/управление программой","Life-cycle Management/ ProgramManagement",1) Основная,"Производство и инженерныетехнологии"
16,R67,RU,Управление локомотивом,Train Driving,1) Основная,Транспорт и логистика
17,D1,RU,"Физическая культура, спорт и фитнес","Physical Education, Sports and Fitness",1) Основная,Образование
0,7,WSI,Фрезерные работы на станках с ЧПУ,CNC Milling,1) Основная,"Производство и инженерныетехнологии"
1,47,WSI,Хлебопечение,Bakery,1) Основная,Сфера услуг
2,38,WSI,"Холодильная техника и системыкондиционирования",Refrigeration and Air Conditioning,1) Основная,"Строительство и строительныетехнологии"
3,F1,RU,"Эксплуатация беспилотныхавиационных систем",UAV Operation,1) Основная,Транспорт и логистика
4,E53,RU,"Эксплуатация сельскохозяйственныхмашин",Agricultural Mechanic,1) Основная,Транспорт и логистика
5,18,WSI,Электромонтаж,Electrical Installations,1) Основная,"Строительство и строительныетехнологии"
6,16,WSI,Электроника,Electronics,1) Основная,"Производство и инженерныетехнологии"
7,30,WSI,Эстетическая косметология,Beauty Therapy,1) Основная,Сфера услуг
8,27,WSI,Ювелирное дело,Jewellery,1) Основная,Творчество и дизайн
9,"NoCIS",Тип,Название компетенции,Name of competence,Статус компетенции,Блок компетенций
10,D2,WSI,"3D Моделирование для компьютерныхигр",3D Digital Game Art,2) Презентационная,Творчество и дизайн
