0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
1,0,35,202,27,29,35,0,0,255,147,54,119,125,212,17,39
2,0,23,190,27,22,29,0,0,255,147,56,95,156,223,13,27
3,1,0,188,24,10,13,0,0,255,145,59,40,172,254,10,0
4,5,0,183,26,6,1,0,0,255,153,66,22,172,255,7,0
5,4,0,188,32,4,0,0,0,255,157,62,18,170,255,14,21
6,2,0,190,30,6,0,18,0,255,152,58,4,175,255,8,38
7,0,0,204,31,9,0,0,0,255,164,52,0,172,255,0,35
8,0,0,207,29,7,0,0,0,255,159,42,7,146,255,0,47
9,0,0,187,24,38,0,0,0,255,143,27,18,125,255,0,26
10,0,0,154,12,0,0,0,0,255,109,3,15,97,249,11,15
11,0,34,147,8,7,0,0,0,255,115,0,13,93,217,0,18
12,0,0,126,8,10,0,0,0,255,103,0,2,108,167,2,10
13,0,0,128,18,17,6,0,0,255,131,2,0,147,144,6,4
14,0,0,119,33,9,0,0,0,250,167,1,0,177,117,5,5
15,0,0,119,33,0,0,0,0,249,161,0,0,197,97,0,0
16,0,0,131,14,0,0,0,0,255,114,0,0,204,86,0,0
17,0,0,152,10,0,0,0,0,255,111,0,0,187,80,14,0
18,0,0,171,17,0,0,0,0,255,130,0,0,168,86,63,0
19,0,0,191,41,4,0,0,0,255,181,0,0,177,106,0,16
20,0,0,199,47,23,0,0,0,255,191,0,0,213,158,5,27
21,0,0,197,33,20,0,0,0,255,159,0,0,236,177,0,23
22,0,0,197,29,15,0,0,0,255,154,0,0,247,180,0,30
23,0,0,185,16,11,0,0,0,255,122,0,0,240,181,5,29
24,0,0,182,0,10,0,0,0,255,81,0,0,157,179,16,0
25,0,0,188,14,24,0,0,0,255,118,0,0,98,176,20,0
26,0,0,179,40,31,4,0,0,255,180,0,0,136,182,37,26
27,0,1,164,50,36,18,0,0,255,199,0,0,165,190,47,0
28,0,0,152,35,48,28,0,0,255,161,0,0,201,224,31,0
